Day,M,SD
0,499.89,18.93
8,511.15,19.03
15,523.46,19.12
23,533.91,19.27
30,543.88,19.42
38,553.37,19.56
46,562.36,19.69
53,570.85,19.81
61,578.89,19.93
68,586.54,20.04
76,593.87,20.14
84,600.10,20.24
91,606.32,20.34
99,612.55,20.44
106,618.77,20.64
114,625.00,20.71
122,631.23,20.79
129,637.45,20.86
137,643.68,20.94
144,649.37,21.01
152,655.06,21.09
160,660.75,21.16
167,666.44,21.23
175,670.91,21.31
182,675.37,21.38
190,679.84,21.46
198,684.31,21.56
205,688.07,21.66
213,691.82,21.76
220,695.58,21.86
228,699.33,21.96
236,703.09,22.05
243,706.60,22.15
251,709.90,22.25
258,713.20,22.35
266,716.50,22.45
274,719.80,22.55
281,723.10,22.65
289,726.40,22.74
296,729.70,22.84
304,733.00,22.94
312,736.30,23.04
319,739.60,23.14
327,742.90,23.24
334,746.20,23.33
342,749.50,23.43
350,752.80,23.53
357,756.10,23.63
365,759.40,23.73
372,762.08,23.85
380,764.75,23.99
388,767.43,24.12
395,770.10,24.26
403,772.78,24.39
410,775.45,24.52
418,778.13,24.66
426,780.80,24.79
433,783.48,24.92
441,786.15,25.06
448,788.83,25.19
456,791.50,25.33
464,794.18,25.46
471,796.85,25.59
479,799.53,25.73
486,802.20,25.86
494,804.88,25.99
502,807.55,26.13
509,810.23,26.26
517,812.90,26.40
524,815.58,26.53
532,818.25,26.66
540,820.93,26.80
547,823.60,26.93
555,825.99,27.11
562,828.28,27.26
570,830.56,27.41
578,832.85,27.56
585,835.14,27.71
593,837.43,27.86
600,839.71,28.01
608,842.00,28.16
616,844.29,28.31
623,846.58,28.46
631,848.86,28.61
638,851.15,28.76
646,853.44,28.91
654,855.73,29.06
661,858.01,29.21
669,860.30,29.36
676,862.59,29.51
684,864.88,29.66
692,866.76,29.81
699,868.64,29.95
707,870.52,30.10
714,872.40,30.25
722,874.28,30.40
730,876.15,30.55
737,878.03,30.79
745,879.91,30.93
752,881.79,31.06
760,883.67,31.20
768,885.55,31.34
775,887.42,31.47
783,889.30,31.61
790,891.18,31.74
798,893.06,31.88
806,894.93,32.02
813,896.81,32.15
821,898.69,32.29
828,900.56,32.42
836,902.44,32.56
844,904.32,32.70
851,906.19,32.83
859,908.07,32.97
866,909.95,33.10
874,911.75,33.24
882,913.54,33.38
889,915.34,33.51
897,917.14,33.65
904,918.94,33.78
912,920.73,33.92
920,922.23,34.06
927,923.63,34.19
935,924.95,34.33
942,926.27,34.46
950,927.59,34.60
958,928.91,34.74
965,930.28,34.87
973,931.92,35.01
980,933.56,35.14
988,935.20,35.28
996,936.84,35.42
1003,938.48,35.55
1011,940.12,35.69
1018,941.76,35.82
1026,943.40,35.96
1034,945.04,36.10
1041,946.68,36.23
1049,948.32,36.37
1056,949.96,36.50
1064,951.60,36.64
1072,953.24,36.78
1079,954.88,36.91
1087,956.18,37.05
1094,957.48,37.18
1102,958.78,37.41
1110,960.08,37.51
1117,961.38,37.60
1125,962.68,37.70
1132,963.98,37.79
1140,965.28,37.89
1148,966.58,37.98
1155,967.88,38.08
1163,969.18,38.17
1170,970.48,38.27
1178,971.78,38.36
1186,973.08,38.46
1193,974.38,38.55
1201,975.68,38.65
1208,976.98,38.75
1216,978.28,38.84
1224,979.58,38.94
1231,980.88,39.03
1239,982.18,39.13
1246,983.48,39.22
1254,984.78,39.32
1262,986.08,39.41
1269,987.38,39.51
1277,988.68,39.60
1284,989.98,39.70
1292,991.28,39.79
1300,992.58,39.89
1307,993.88,39.98
1315,995.18,40.08
1322,996.48,40.17
1330,997.78,40.27
1338,999.08,40.36
1345,1000.38,40.46
1353,1001.68,40.56
1360,1003.03,40.65
1368,1004.50,40.75
1376,1005.98,40.84
1383,1007.45,40.94
1391,1008.93,41.03
1398,1010.40,41.13
1406,1011.88,41.22
1414,1013.35,41.32
1421,1014.83,41.41
1429,1016.30,41.51
1436,1017.78,41.60
1444,1019.25,41.70
1452,1020.83,41.79
1459,1022.24,41.89
1467,1023.65,41.98
1474,1025.06,42.08
1482,1026.46,42.17
1490,1027.87,42.27
1497,1029.28,42.36
1505,1030.69,42.46
1512,1032.09,42.56
1520,1033.50,42.65
1528,1034.91,42.75
