Day,5th,10th,25th,50th,75th,90th,95th
0,468.750,475.622,487.112,499.890,512.668,524.158,531.030
8,479.846,486.754,498.305,511.150,523.995,535.546,542.454
15,492.008,498.948,510.554,523.460,536.366,547.972,554.912
23,502.211,509.206,520.903,533.910,546.917,558.614,565.609
30,511.934,518.984,530.772,543.880,556.989,568.776,575.826
38,521.194,528.294,540.167,553.370,566.573,578.446,585.546
46,529.970,537.117,549.069,562.360,575.651,587.603,594.750
53,538.263,545.454,557.478,570.850,584.222,596.246,603.437
61,546.105,553.340,565.437,578.890,592.343,604.440,611.675
68,553.574,560.849,573.013,586.540,600.067,612.231,619.506
76,560.740,568.051,580.276,593.870,607.465,619.689,627.000
84,566.801,574.148,586.434,600.096,613.758,626.044,633.391
91,572.863,580.246,592.593,606.322,620.052,632.398,639.781
99,578.924,586.344,598.751,612.548,626.345,638.752,646.172
106,584.821,592.314,604.842,618.774,632.706,645.234,652.727
114,590.932,598.450,611.021,625.000,638.979,651.550,659.068
122,597.026,604.573,617.193,631.226,645.259,657.879,665.426
129,603.137,610.709,623.372,637.452,651.533,664.195,671.767
137,609.232,616.833,629.544,643.678,657.813,670.523,678.124
144,614.807,622.433,635.186,649.368,663.550,676.303,683.929
152,620.365,628.021,640.822,655.058,669.294,682.095,689.751
160,625.940,633.621,646.465,660.748,675.031,687.875,695.556
167,631.515,639.221,652.108,666.438,680.768,693.655,701.361
175,635.851,643.587,656.522,670.906,685.290,698.225,705.961
182,640.204,647.965,660.943,675.374,689.806,702.783,710.544
190,644.540,652.330,665.357,679.842,694.328,707.354,715.144
198,648.844,656.670,669.757,684.310,698.863,711.950,719.776
205,652.434,660.297,673.445,688.065,702.686,715.833,723.696
213,656.025,663.924,677.132,691.820,706.508,719.716,727.615
220,659.615,667.550,680.820,695.575,710.331,723.600,731.535
228,663.206,671.177,684.507,699.330,714.153,727.483,735.454
236,666.813,674.817,688.201,703.085,717.969,731.353,739.357
243,670.163,678.204,691.649,706.600,721.551,734.996,743.037
251,673.299,681.376,694.881,709.900,724.919,738.425,746.501
258,676.434,684.547,698.114,713.200,728.286,741.853,749.966
266,679.570,687.719,701.346,716.500,731.654,745.281,753.430
274,682.705,690.891,704.579,719.800,735.021,748.709,756.895
281,685.841,694.063,707.811,723.100,738.389,752.137,760.359
289,688.993,697.247,711.051,726.400,741.750,755.553,763.807
