Day,M,SD
0,33464,4886
8,34879,5052
15,37529,5307
23,40603,5606
30,43671,5894
38,46590,6157
46,49303,6390
53,51817,6596
61,54149,6779
68,56319,6944
76,58346,7093
84,60242,7230
91,61950,7355
99,63658,7472
106,65366,7698
114,67074,7799
122,68782,7900
129,70248,8001
137,71715,8103
144,73183,8204
152,74650,8305
160,76118,8406
167,77268,8508
175,78418,8609
182,79270,8710
190,80113,8819
198,80955,8896
205,81798,8972
213,82640,9049
220,83483,9126
228,84325,9203
236,85033,9279
243,85740,9356
251,86448,9433
258,87155,9510
266,87863,9586
274,88570,9663
281,89278,9740
289,89985,9817
296,90693,9893
304,91400,9970
312,92108,10047
319,92815,10124
327,93523,10200
334,94230,10277
342,94880,10354
350,95530,10431
357,96180,10507
365,96680,10584
372,97198,10608
380,97715,10675
388,98233,10743
395,98750,10810
403,99288,10878
410,99825,10945
418,100363,11013
426,100900,11080
433,101438,11148
441,101975,11215
448,102513,11283
456,103050,11350
464,103588,11418
471,104125,11485
479,104663,11553
486,105200,11620
494,105738,11688
502,106275,11755
509,106813,11823
517,107350,11890
524,107888,11958
532,108425,12025
540,108963,12093
547,109500,12160
555,109865,12228
562,110370,12300
570,110875,12371
578,111380,12443
585,111885,12515
593,112390,12587
600,112895,12658
608,113400,12730
616,113905,12802
623,114410,12874
631,114915,12945
638,115420,13017
646,115925,13089
654,116430,13161
661,116935,13232
669,117440,13304
676,117945,13376
684,118450,13448
692,118955,13519
699,119460,13591
707,119965,13663
714,120495,13735
722,121025,13806
730,121555,13878
737,122085,13977
745,122615,14050
752,123145,14122
760,123600,14195
768,124055,14268
775,124510,14341
783,124965,14413
790,125420,14486
798,125875,14559
806,126330,14632
813,126785,14704
821,127240,14777
828,127695,14850
836,128150,14923
844,128605,14995
851,129060,15068
859,129515,15141
866,129970,15214
874,130425,15286
882,130880,15359
889,131335,15432
897,131790,15505
904,132245,15577
912,132700,15650
920,133155,15723
927,133610,15796
935,134065,15868
942,134520,15941
950,134975,16014
958,135430,16087
965,135885,16159
973,136340,16232
980,136795,16305
988,137250,16378
996,137705,16450
1003,138160,16523
1011,138615,16596
1018,139070,16669
1026,139525,16741
1034,139980,16814
1041,140435,16887
1049,140890,16960
1056,141345,17032
1064,141800,17105
1072,142255,17178
1079,142710,17251
1087,143120,17323
1094,143530,17396
1102,143940,17406
1110,144350,17479
1117,144673,17551
1125,145090,17623
1132,145508,17695
1140,145925,17768
1148,146343,17840
1155,146760,17912
1163,147178,17984
1170,147595,18057
1178,148013,18129
