Day,5th,10th,25th,50th,75th,90th,95th
0,25427,27200,30166,33464,36762,39728,41501
8,26568,28402,31469,34879,38289,41356,43190
15,28799,30725,33947,37529,41111,44333,46259
23,31381,33416,36819,40603,44387,47790,49825
30,33975,36115,39693,43671,47649,51227,53367
38,36462,38697,42434,46590,50746,54483,56718
46,38791,41111,44990,49303,53616,57495,59815
53,40967,43361,47365,51817,56269,60273,62667
61,42998,45458,49573,54149,58725,62840,65300
68,44896,47417,51632,56319,61006,65221,67742
76,46678,49253,53558,58346,63134,67439,70014
84,48349,50973,55362,60242,65122,69511,72135
91,49851,52521,56985,61950,66915,71379,74049
99,51367,54079,58614,63658,68702,73237,75949
106,52703,55497,60170,65366,70562,75235,78029
114,54245,57076,61810,67074,72338,77072,79903
122,55787,58654,63450,68782,74115,78910,81778
129,57086,59991,64847,70248,75649,80505,83410
137,58386,61327,66245,71715,77185,82103,85044
144,59687,62665,67645,73183,78721,83701,86679
152,60988,64003,69044,74650,80256,85297,88312
160,62290,65342,70444,76118,81792,86894,89946
167,63272,66361,71525,77268,83011,88175,91264
175,64256,67381,72607,78418,84229,89455,92580
182,64942,68104,73391,79270,85149,90436,93598
190,65605,68807,74160,80113,86065,91418,94620
198,66321,69550,74950,80955,86960,92360,95589
205,67039,70295,75741,81798,87854,93300,96556
213,67754,71039,76532,82640,88748,94241,97526
220,68470,71783,77322,83483,89643,95182,98495
228,69186,72527,78113,84325,90537,96123,99464
236,69769,73137,78770,85033,91296,96929,100297
243,70349,73746,79425,85740,92055,97734,101131
251,70931,74355,80081,86448,92815,98541,101965
258,71511,74963,80736,87155,93574,99347,102799
266,72094,75574,81392,87863,94334,100152,103632
274,72674,76182,82047,88570,95093,100958,104466
281,73256,76791,82704,89278,95853,101765,105300
289,73836,77400,83359,89985,96611,102570,106134
296,74419,78010,84015,90693,97371,103376,106967
304,74999,78618,84670,91400,98130,104182,107801
312,75581,79228,85326,92108,98890,104988,108635
319,76161,79836,85981,92815,99649,105794,109469
327,76744,80447,86638,93523,100408,106599,110302
334,77324,81055,87293,94230,101167,107405,111136
342,77848,81606,87891,94880,101869,108154,111912
350,78371,82157,88489,95530,102571,108903,112689
357,78896,82710,89088,96180,103272,109650,113464
365,79269,83111,89536,96680,103824,110249,114091
372,79747,83598,90037,97198,104358,110797,114648
380,80155,84030,90509,97715,104921,111400,115275
388,80560,84460,90981,98233,105484,112005,115905
395,80968,84892,91453,98750,106047,112608,116532
403,81394,85342,91945,99288,106631,113234,117182
410,81820,85794,92437,99825,107213,113856,117830
418,82247,86244,92929,100363,107797,114482,118479
