Day,M,SD
0,491.48,18.63
8,503.30,18.83
15,515.12,19.03
23,524.70,19.25
30,533.81,19.47
38,542.45,19.68
46,550.64,19.87
53,558.41,20.06
61,565.77,20.24
68,572.76,20.41
76,579.44,20.58
84,585.82,20.74
91,592.41,20.90
99,599.00,21.04
106,604.10,21.31
114,609.20,21.45
122,614.30,21.59
129,619.40,21.74
137,623.75,21.88
144,628.10,22.02
152,632.45,22.17
160,636.80,22.31
167,641.15,22.45
175,645.50,22.60
182,649.85,22.74
190,654.20,22.79
198,658.56,22.92
205,662.91,23.04
213,667.26,23.17
220,671.61,23.30
228,675.96,23.43
236,680.29,23.55
243,684.62,23.68
251,688.95,23.81
258,693.28,23.94
266,696.75,24.06
274,700.20,24.19
281,703.65,24.32
289,707.10,24.45
296,710.55,24.57
304,714.00,24.70
312,717.45,24.83
319,720.90,24.96
327,724.35,25.08
334,727.80,25.21
342,731.25,25.34
350,734.02,25.47
357,736.79,25.59
365,739.56,25.72
372,742.33,25.91
380,745.10,26.05
388,747.87,26.19
395,750.64,26.32
403,754.08,26.46
410,756.85,26.60
418,759.63,26.74
426,762.40,26.87
433,765.18,27.01
441,767.95,27.15
448,770.73,27.28
456,773.50,27.42
464,776.28,27.56
471,779.05,27.69
479,781.83,27.83
486,784.60,27.97
494,787.38,28.11
502,790.15,28.24
509,792.93,28.38
517,795.70,28.52
524,798.48,28.65
532,801.25,28.79
540,803.52,28.93
547,805.79,29.06
555,808.06,29.14
562,810.33,29.27
570,812.60,29.41
578,814.87,29.54
585,817.14,29.68
593,819.41,29.81
600,821.68,29.95
608,823.95,30.08
616,826.22,30.22
623,828.49,30.35
631,830.76,30.48
638,833.03,30.62
646,835.30,30.75
654,837.57,30.89
661,839.84,31.02
669,842.11,31.16
676,844.38,31.29
684,846.65,31.43
692,848.56,31.56
699,850.33,31.70
707,852.11,31.83
714,853.88,31.97
722,855.66,32.10
730,857.43,32.24
737,859.20,32.46
745,860.98,32.58
752,862.75,32.70
760,864.53,32.83
