Day,5th,10th,25th,50th,75th,90th,95th
0,460.84,467.60,478.90,491.48,504.05,515.36,522.12
8,472.32,479.15,490.59,503.30,516.01,527.44,534.28
15,483.82,490.72,502.28,515.12,527.96,539.52,546.42
23,493.03,500.02,511.70,524.70,537.69,549.37,556.36
30,501.78,508.85,520.67,533.81,546.95,558.77,565.83
38,510.09,517.23,529.17,542.45,555.73,567.68,574.82
46,517.95,525.16,537.23,550.64,564.06,576.12,583.33
53,525.40,532.68,544.86,558.41,571.95,584.13,591.41
61,532.47,539.82,552.10,565.77,579.43,591.72,599.07
68,539.18,546.59,558.98,572.76,586.54,598.93,606.34
76,545.58,553.05,565.54,579.44,593.33,605.82,613.29
84,551.70,559.23,571.82,585.82,599.81,612.40,619.93
91,558.03,565.62,578.30,592.41,606.51,619.19,626.78
99,564.38,572.02,584.79,599.00,613.20,625.97,633.61
106,569.05,576.78,589.71,604.10,618.48,631.41,639.14
114,573.91,581.70,594.72,609.20,623.67,636.69,644.48
122,578.78,586.62,599.72,614.30,628.87,641.98,649.81
129,583.64,591.53,604.72,619.40,634.07,647.26,655.15
137,587.76,595.70,608.98,623.75,638.52,651.80,659.74
144,591.87,599.87,613.23,628.10,642.96,656.33,664.32
152,595.99,604.03,617.49,632.45,647.41,660.86,668.91
160,600.10,608.20,621.74,636.80,651.86,665.40,673.50
167,604.22,612.37,626.00,641.15,656.31,669.93,678.08
175,608.33,616.54,630.25,645.50,660.75,674.47,682.67
182,612.45,620.70,634.50,649.85,665.20,679.00,687.26
190,616.72,624.99,638.82,654.20,669.59,683.42,691.69
198,620.86,629.18,643.09,658.56,674.02,687.93,696.25
205,625.00,633.36,647.35,662.91,678.46,692.45,700.81
213,629.14,637.55,651.62,667.26,682.90,696.96,705.37
220,633.28,641.74,655.88,671.61,687.33,701.48,709.93
228,637.42,645.93,660.15,675.96,691.77,705.99,714.49
236,641.54,650.09,664.39,680.29,696.19,710.48,719.03
243,645.67,654.26,668.64,684.62,700.60,714.98,723.57
251,649.78,658.43,672.88,688.95,705.02,719.47,728.11
258,653.91,662.59,677.12,693.28,709.44,723.96,732.65
266,657.17,665.90,680.51,696.75,712.99,727.60,736.33
274,660.41,669.19,683.87,700.20,716.53,731.21,739.99
281,663.65,672.47,687.24,703.65,720.06,734.83,743.65
289,666.89,675.76,690.60,707.10,723.60,738.44,747.31
296,670.13,679.05,693.96,710.55,727.14,742.05,750.97
304,673.37,682.33,697.33,714.00,730.67,745.67,754.63
312,676.61,685.62,700.69,717.45,734.21,749.28,758.29
319,679.85,688.91,704.06,720.90,737.74,752.89,761.95
327,683.09,692.19,707.42,724.35,741.28,756.51,765.61
334,686.33,695.48,710.78,727.80,744.82,760.12,769.27
342,689.57,698.77,714.15,731.25,748.35,763.73,772.93
350,692.13,701.37,716.83,734.02,751.21,766.67,775.91
357,694.69,703.98,719.51,736.79,754.07,769.60,778.89
365,697.25,706.59,722.20,739.56,756.92,772.53,781.87
372,699.70,709.11,724.84,742.33,759.82,775.55,784.96
380,702.25,711.70,727.52,745.10,762.68,778.50,787.95
388,704.79,714.30,730.19,747.87,765.55,781.44,790.95
395,707.34,716.89,732.87,750.64,768.41,784.39,793.94
403,710.55,720.15,736.21,754.08,771.94,788.00,797.60
410,713.10,722.75,738.90,756.85,774.80,790.95,800.60
418,715.65,725.35,741.58,759.63,777.67,793.90,803.60
426,718.20,727.95,744.26,762.40,780.54,796.85,806.60
433,720.75,730.55,746.94,765.18,783.41,799.80,809.60
441,723.29,733.15,749.63,767.95,786.27,802.75,812.61
448,725.84,735.75,752.31,770.73,789.14,805.70,815.61
456,728.39,738.35,754.99,773.50,792.01,808.65,818.61
464,730.94,740.95,757.67,776.28,794.88,811.60,821.61
471,733.49,743.55,760.36,779.05,797.74,814.55,824.61
479,736.04,746.15,763.04,781.83,800.61,817.50,827.61
486,738.59,748.75,765.72,784.60,803.48,820.45,830.61
494,741.14,751.34,768.40,787.38,806.35,823.41,833.61
502,743.69,753.94,771.09,790.15,809.21,826.36,836.61
509,746.24,756.54,773.77,792.93,812.08,829.31,839.61
517,748.79,759.14,776.45,795.70,814.95,832.26,842.61
524,751.34,761.74,779.13,798.48,817.82,835.21,845.61
532,753.89,764.34,781.82,801.25,820.68,838.16,848.61
540,755.94,766.44,783.99,803.52,823.05,840.60,851.10
547,757.98,768.53,786.17,805.79,825.41,843.05,853.60
555,760.13,770.71,788.39,808.06,827.73,845.41,855.99
562,762.18,772.80,790.57,810.33,830.09,847.86,858.48
570,764.23,774.90,792.75,812.60,832.45,850.30,860.97
578,766.28,777.00,794.93,814.87,834.81,852.74,863.46
585,768.32,779.10,797.11,817.14,837.17,855.18,865.96
593,770.37,781.19,799.29,819.41,839.53,857.63,868.45
600,772.42,783.29,801.47,821.68,841.89,860.07,870.94
608,774.47,785.39,803.65,823.95,844.25,862.51,873.43
616,776.52,787.48,805.82,826.22,846.62,864.96,875.92
623,778.56,789.58,808.00,828.49,848.98,867.40,878.42
631,780.61,791.68,810.18,830.76,851.34,869.84,880.91
638,782.66,793.78,812.36,833.03,853.70,872.28,883.40
646,784.71,795.87,814.54,835.30,856.06,874.73,885.89
654,786.76,797.97,816.72,837.57,858.42,877.17,888.38
661,788.81,800.07,818.90,839.84,860.78,879.61,890.87
669,790.86,802.17,821.08,842.11,863.14,882.05,893.36
676,792.90,804.26,823.26,844.38,865.50,884.50,895.86
684,794.95,806.36,825.44,846.65,867.86,886.94,898.35
692,796.64,808.10,827.26,848.56,869.86,889.02,900.48
699,798.19,809.70,828.94,850.33,871.73,890.97,902.48
707,799.74,811.30,830.62,852.11,873.59,892.92,904.47
714,801.30,812.90,832.30,853.88,875.46,894.86,906.47
722,802.85,814.50,833.99,855.66,877.32,896.81,908.46
730,804.40,816.10,835.67,857.43,879.19,898.76,910.46
737,805.81,817.59,837.29,859.20,881.11,900.82,912.60
745,807.38,819.21,838.99,860.98,882.97,902.75,914.57
752,808.96,820.83,840.68,862.75,884.83,904.68,916.55
760,810.53,822.44,842.37,864.53,886.68,906.61,918.52
768,812.10,824.06,844.06,866.30,888.54,908.54,920.50
775,813.67,825.68,845.75,868.07,890.40,910.47,922.47
783,815.25,827.30,847.44,869.85,892.25,912.40,924.45
790,816.82,828.91,849.14,871.62,894.11,914.33,926.42
798,818.39,830.53,850.83,873.40,895.97,916.26,928.40
806,819.97,832.15,852.52,875.17,897.82,918.19,930.37
813,821.54,833.76,854.21,876.94,899.68,920.12,932.35
821,823.11,835.38,855.90,878.72,901.54,922.05,934.32
828,824.69,837.00,857.59,880.49,903.39,923.98,936.30
836,826.26,838.62,859.28,882.27,905.25,925.92,938.27
844,827.83,840.23,860.98,884.04,907.10,927.85,940.25
851,829.40,841.85,862.67,885.81,908.96,929.78,942.22
859,830.98,843.47,864.36,887.59,910.82,931.71,944.20
866,832.55,845.09,866.05,889.36,912.67,933.64,946.18
874,834.12,846.70,867.74,891.14,914.53,935.57,948.15
882,835.70,848.32,869.43,892.91,916.39,937.50,950.12
889,837.27,849.94,871.12,894.68,918.24,939.43,952.10
897,838.84,851.55,872.82,896.46,920.10,941.36,954.08
904,840.41,853.17,874.51,898.23,921.96,943.29,956.05
912,841.99,854.79,876.20,900.01,923.81,945.22,958.03
920,843.56,856.41,877.89,901.78,925.67,947.15,960.00
927,845.13,858.02,879.58,903.55,927.53,949.08,961.98
935,846.71,859.64,881.27,905.33,929.38,951.01,963.95
942,848.28,861.26,882.96,907.10,931.24,952.95,965.93
950,849.85,862.88,884.66,908.88,933.10,954.88,967.90
958,851.42,864.49,886.35,910.65,934.95,956.81,969.88
965,853.00,866.11,888.04,912.42,936.81,958.74,971.85
973,854.57,867.73,889.73,914.20,938.67,960.67,973.83
980,856.14,869.35,891.42,915.97,940.52,962.60,975.80
988,857.72,870.96,893.11,917.75,942.38,964.53,977.78
996,858.42,871.71,893.94,918.65,943.37,965.59,978.88
1003,859.80,873.13,895.43,920.23,945.03,967.33,980.66
1011,861.17,874.55,896.93,921.81,946.69,969.06,982.44
1018,862.55,875.97,898.42,923.39,948.35,970.80,984.22
1026,863.93,877.40,899.92,924.96,950.01,972.53,986.00
1034,865.30,878.82,901.41,926.54,951.67,974.26,987.78
1041,866.68,880.24,902.91,928.12,953.33,976.00,989.55
1049,868.06,881.66,904.40,929.70,954.99,977.73,991.33
1056,869.43,883.08,905.90,931.27,956.65,979.47,993.11
1064,870.81,884.50,907.39,932.85,958.31,981.20,994.89
1072,872.19,885.92,908.89,934.43,959.97,982.93,996.67
1079,873.56,887.34,910.38,936.01,961.63,984.67,998.45
1087,874.94,888.76,911.88,937.58,963.29,986.40,1000.23
1094,876.31,890.18,913.37,939.16,964.95,988.14,1002.01
1102,877.81,891.70,914.92,940.74,966.56,989.78,1003.66
1110,879.22,893.14,916.42,942.32,968.21,991.49,1005.41
1117,880.62,894.58,917.93,943.89,969.85,993.20,1007.16
1125,882.03,896.03,919.44,945.47,971.50,994.91,1008.91
1132,883.43,897.47,920.94,947.05,973.15,996.62,1010.66
1140,884.84,898.92,922.45,948.63,974.80,998.33,1012.41
1148,886.04,900.16,923.76,950.00,976.25,999.85,1013.96
1155,887.25,901.40,925.06,951.38,977.69,1001.36,1015.51
1163,888.45,902.64,926.37,952.75,979.14,1002.87,1017.06
1170,889.66,903.89,927.68,954.13,980.59,1004.38,1018.60
1178,890.86,905.13,928.98,955.51,982.03,1005.89,1020.15
1186,891.91,906.21,930.13,956.73,983.32,1007.24,1021.54
1193,892.96,907.30,931.28,957.95,984.61,1008.59,1022.94
1201,894.01,908.38,932.43,959.17,985.90,1009.95,1024.33
1208,895.05,909.47,933.58,960.39,987.19,1011.30,1025.72
1216,896.33,910.78,934.95,961.83,988.71,1012.88,1027.33
1224,897.60,912.09,936.32,963.27,990.22,1014.46,1028.95
1231,898.87,913.40,937.70,964.72,991.74,1016.03,1030.56
1239,900.22,914.79,939.15,966.24,993.33,1017.69,1032.26
1246,901.46,916.06,940.49,967.65,994.81,1019.24,1033.84
1254,902.70,917.34,941.83,969.06,996.29,1020.78,1035.43
1262,903.94,918.62,943.17,970.48,997.78,1022.33,1037.01
1269,905.18,919.90,944.51,971.89,999.26,1023.88,1038.60
1277,906.42,921.18,945.86,973.30,1000.74,1025.42,1040.18
1284,907.66,922.46,947.20,974.71,1002.23,1026.97,1041.76
1292,908.90,923.74,948.54,976.13,1003.71,1028.51,1043.35
1300,910.14,925.01,949.88,977.54,1005.19,1030.06,1044.93
1307,911.38,926.29,951.23,978.95,1006.67,1031.61,1046.52
1315,912.62,927.57,952.57,980.36,1008.16,1033.15,1048.10
1322,913.86,928.85,953.91,981.78,1009.64,1034.70,1049.69
1330,915.10,930.13,955.25,983.19,1011.12,1036.25,1051.27
1338,916.35,931.41,956.59,984.60,1012.61,1037.79,1052.85
1345,917.59,932.69,957.93,986.01,1014.09,1039.34,1054.44
1353,918.83,933.96,959.28,987.43,1015.57,1040.89,1056.02
1360,920.07,935.24,960.62,988.84,1017.06,1042.43,1057.61
1368,921.31,936.52,961.96,990.25,1018.54,1043.98,1059.19
1376,922.55,937.80,963.30,991.66,1020.02,1045.53,1060.78
1383,923.79,939.08,964.64,993.08,1021.51,1047.07,1062.36
1391,925.03,940.36,965.99,994.49,1022.99,1048.62,1063.95
1398,926.27,941.64,967.33,995.90,1024.47,1050.16,1065.53
1406,927.51,942.91,968.67,997.31,1025.95,1051.71,1067.11
1414,928.75,944.19,970.01,998.73,1027.44,1053.26,1068.70
1421,930.46,945.94,971.82,1000.61,1029.39,1055.27,1070.75
1429,931.70,947.22,973.17,1002.02,1030.87,1056.82,1072.34
1436,932.95,948.50,974.51,1003.44,1032.36,1058.37,1073.92
1444,934.19,949.78,975.86,1004.85,1033.84,1059.92,1075.51
1452,935.43,951.06,977.20,1006.27,1035.33,1061.47,1077.10
1459,936.68,952.34,978.54,1007.68,1036.82,1063.02,1078.68
1467,938.04,953.72,979.94,1009.10,1038.25,1064.47,1080.15
1474,939.30,955.01,981.29,1010.51,1039.73,1066.01,1081.72
1482,940.56,956.31,982.64,1011.93,1041.21,1067.54,1083.29
1490,941.82,957.61,983.99,1013.34,1042.69,1069.07,1084.86
1497,943.08,958.90,985.35,1014.76,1044.16,1070.61,1086.43
1505,944.34,960.19,986.70,1016.17,1045.64,1072.15,1088.00
1512,945.61,961.49,988.05,1017.59,1047.12,1073.68,1089.56
1520,946.87,962.78,989.40,1019.00,1048.60,1075.22,1091.13
1528,948.13,964.08,990.75,1020.42,1050.08,1076.75,1092.70
1535,949.39,965.37,992.10,1021.83,1051.56,1078.29,1094.27
1543,950.65,966.67,993.46,1023.25,1053.03,1079.82,1095.84
1550,951.91,967.96,994.81,1024.66,1054.51,1081.36,1097.41
1558,953.17,969.26,996.16,1026.08,1055.99,1082.89,1098.98
1566,954.43,970.55,997.51,1027.49,1057.47,1084.43,1100.55
1573,955.69,971.85,998.86,1028.91,1058.95,1085.96,1102.12
1581,956.95,973.14,1000.22,1030.32,1060.43,1087.50,1103.69
1588,958.21,974.44,1001.57,1031.74,1061.90,1089.03,1105.26
1596,959.47,975.73,1002.92,1033.15,1063.38,1090.57,1106.83
1604,960.74,977.03,1004.27,1034.57,1064.86,1092.10,1108.39
1611,962.00,978.32,1005.62,1035.98,1066.34,1093.64,1109.96
1619,963.26,979.62,1006.97,1037.40,1067.82,1095.17,1111.53
1626,964.52,980.91,1008.32,1038.81,1069.30,1096.71,1113.10
1634,965.78,982.21,1009.68,1040.23,1070.77,1098.24,1114.67
1642,967.04,983.50,1011.03,1041.64,1072.25,1099.78,1116.24
1649,968.30,984.80,1012.38,1043.06,1073.73,1101.31,1117.81
1657,969.56,986.09,1013.73,1044.47,1075.21,1102.85,1119.38
1664,970.82,987.39,1015.08,1045.89,1076.69,1104.38,1120.95
