Day,M,SD
0,32322,4580
8,33388,4875
15,35693,5118
23,38352,5392
30,40987,5658
38,43476,5905
46,45793,6133
53,47950,6343
61,49959,6538
68,51681,6722
76,53403,6896
84,55125,7061
91,56847,7219
99,58569,7370
106,60291,8010
114,62013,8099
122,63466,8188
129,64919,8277
137,66372,8367
144,67574,8456
152,68674,8545
160,69758,8634
167,70681,8724
175,71604,8813
182,72527,8902
190,73450,9040
198,74373,9126
205,75296,9212
213,76111,9298
220,76993,9384
228,77675,9470
236,78358,9556
243,79040,9642
251,79723,9728
258,80405,9814
266,81088,9900
274,81770,9986
281,82453,10072
289,83135,10158
296,83818,10244
304,84500,10330
312,85183,10416
319,85865,10502
327,86548,10588
334,87230,10674
342,87913,10760
350,88466,10846
357,89019,10932
365,89572,11018
372,90115,11076
380,90650,11144
388,91185,11211
395,91720,11279
403,92255,11346
410,92790,11414
418,93325,11481
426,93860,11549
433,94395,11616
441,94930,11684
448,95465,11751
456,96000,11819
464,96535,11886
471,97070,11953
479,97605,12021
486,98140,12088
494,98675,12156
502,99210,12223
509,99745,12291
517,100280,12358
524,100815,12426
532,101350,12493
540,101885,12561
547,102420,12628
555,102960,12656
562,103480,12724
570,104000,12791
578,104520,12859
585,105040,12927
593,105560,12995
600,106080,13062
608,106600,13130
616,107120,13198
623,107640,13266
631,108160,13333
638,108680,13401
646,109200,13469
654,109720,13537
661,110240,13604
669,110760,13672
676,111280,13740
684,111800,13808
692,112320,13875
699,112840,13943
707,113360,14011
714,113880,14079
722,114400,14146
730,114920,14214
737,115373,14246
745,115865,14323
752,116358,14399
760,116850,14475
768,117343,14551
775,117835,14628
783,118328,14704
790,118820,14780
798,119313,14856
806,119805,14933
813,120298,15009
821,120790,15085
828,121283,15161
836,121775,15238
844,122268,15314
851,122760,15390
859,123253,15466
866,123745,15543
874,124238,15619
882,124730,15695
889,125223,15771
897,125715,15848
904,126208,15924
912,126700,16000
920,127193,16076
927,127685,16153
935,128178,16229
942,128670,16305
950,129163,16381
958,129655,16458
965,130148,16534
973,130640,16610
980,131133,16686
988,131625,16763
996,132118,16839
1003,132610,16915
1011,133103,16991
1018,133595,17068
1026,134088,17144
1034,134580,17220
1041,135073,17296
1049,135565,17373
1056,136058,17449
1064,136550,17525
1072,137043,17601
1079,137535,17678
1087,138028,17754
1094,138520,17830
1102,139063,17916
1110,139525,18009
1117,139988,18101
1125,140450,18193
1132,140913,18285
1140,141375,18378
1148,141838,18470
1155,142300,18562
1163,142763,18654
1170,143225,18747
1178,143688,18839
1186,144150,18931
1193,144613,19023
1201,145075,19116
1208,145538,19208
1216,146000,19300
1224,146463,19392
1231,146925,19485
1239,147388,19577
1246,147850,19669
1254,148313,19761
1262,148775,19854
1269,149238,19946
1277,149700,20038
1284,150163,20130
1292,150625,20223
1300,151088,20315
1307,151550,20407
1315,152013,20499
1322,152475,20592
1330,152938,20684
1338,153400,20776
1345,153863,20868
1353,154325,20961
1360,154788,21053
1368,155250,21145
1376,155713,21237
1383,156175,21330
1391,156638,21422
1398,157100,21514
1406,157563,21606
1414,158025,21699
1421,158488,21791
1429,158950,21883
1436,159413,21975
1444,159792,22068
1452,160171,22160
1459,160550,22252
1467,161068,22386
1474,161515,22484
1482,161963,22581
1490,162410,22679
1497,162858,22777
1505,163305,22875
1512,163753,22972
1520,164200,23070
1528,164648,23168
1535,165095,23266
1543,165543,23363
1550,165990,23461
1558,166438,23559
1566,166885,23657
1573,167333,23754
1581,167780,23852
1588,168228,23950
1596,168675,24048
1604,169123,24145
1611,169570,24243
1619,170018,24341
1626,170465,24439
1634,170913,24536
1642,171360,24634
1649,171808,24732
1657,172255,24830
1664,172703,24927
1672,173150,25025
1680,173598,25123
1687,174045,25221
1695,174493,25318
1702,174940,25416
1710,175388,25514
1718,175835,25612
1725,176283,25709
1733,176696,25807
1740,177110,25905
1748,177523,26003
1756,177936,26100
1763,178350,26198
1771,178763,26296
1778,179176,26394
1786,179590,26491
1794,180003,26589
1801,180416,26687
1809,180830,26785
1816,181243,26882
1824,181656,26980
1832,182070,27050
1839,182483,27120
1847,182896,27190
1854,183310,27260
1862,183723,27331
1870,184136,27399
1877,184550,27468
1885,184963,27536
1892,185376,27604
1900,185790,27673
1908,186203,27741
1915,186616,27810
1923,187030,27878
1930,187443,27947
1938,187876,28015
1946,188310,28084
1953,188743,28152
1961,189176,28220
1968,189610,28289
1976,190043,28357
1984,190476,28426
1991,190910,28494
1999,191343,28563
2006,191776,28631
2014,192210,28700
2022,192643,28768
2029,193076,28837
2037,193510,28905
2044,193943,28973
2052,194376,29042
2060,194810,29110
2067,195243,29179
2075,195676,29247
2082,196110,29321
2090,196543,29394
2098,196976,29468
2105,197409,29541
2113,197843,29615
2120,198276,29688
2128,198709,29761
2136,199143,29835
2143,199620,29908
2151,200110,29982
2158,200600,30055
2166,201090,30129
2174,201580,30202
2181,202070,30276
2189,202560,30349
2196,203050,30423
2204,203540,30496
2212,204030,30570
2219,204520,30643
2227,205010,30717
2234,205500,30790
2242,205990,30864
2250,206480,30937
2257,206970,31010
2265,207460,31084
2272,207950,31157
2280,208440,31231
2288,208930,31304
2295,209420,31378
2303,209910,31451
2310,210400,31525
2318,210890,31598
2326,211380,31684
2333,211870,31770
2341,212360,31856
2348,212850,31941
2356,213340,32027
2364,213830,32113
