Day,5th,10th,25th,50th,75th,90th,95th
0,24788,26450,29231,32322,35414,38194,39856
8,25369,27138,30097,33388,36679,39638,41407
15,27274,29132,32238,35693,39148,42254,44112
23,29482,31439,34712,38352,41992,45265,47222
30,31680,33733,37168,40987,44806,48241,50294
38,33762,35906,39490,43476,47462,51046,53190
46,35704,37930,41653,45793,49933,53656,55882
53,37516,39818,43668,47950,52232,56082,58384
61,39204,41577,45546,49959,54372,58341,60714
68,40623,43063,47144,51681,56218,60299,62739
76,42059,44562,48748,53403,58058,62244,64747
84,43510,46073,50359,55125,59891,64177,66740
91,44972,47592,51974,56847,61720,66102,68722
99,46445,49121,53594,58569,63544,68017,70693
106,47115,50022,54884,60291,65698,70560,73467
114,48690,51630,56546,62013,67480,72396,75336
122,49997,52969,57939,63466,68993,73963,76935
129,51303,54308,59332,64919,70506,75530,78535
137,52608,55646,60724,66372,72020,77098,80136
144,53664,56733,61866,67574,73282,78415,81484
152,54617,57719,62906,68674,74442,79629,82731
160,55555,58689,63930,69758,75586,80827,83961
167,56330,59497,64792,70681,76570,81865,85032
175,57107,60306,65655,71604,77553,82902,86101
182,57883,61115,66518,72527,78536,83939,87171
190,58579,61861,67348,73450,79552,85039,88321
198,59361,62673,68213,74373,80533,86073,89385
205,60142,63486,69078,75296,81514,87106,90450
213,60816,64191,69835,76111,82387,88031,91406
220,61556,64963,70659,76993,83327,89023,92430
228,62097,65534,71283,77675,84067,89816,93253
236,62638,66107,71908,78358,84808,90609,94078
243,63179,66679,72532,79040,85548,91401,94901
251,63720,67252,73157,79723,86289,92194,95726
258,64261,67823,73781,80405,87029,92987,96549
266,64803,68396,74406,81088,87771,93780,97374
274,65343,68968,75029,81770,88511,94572,98197
281,65885,69541,75654,82453,89252,95365,99021
289,66425,70112,76278,83135,89992,96158,99845
296,66967,70685,76903,83818,90733,96951,100669
304,67507,71257,77527,84500,91473,97743,101493
312,68049,71830,78152,85183,92214,98536,102317
319,68589,72401,78776,85865,92954,99329,103141
327,69131,72974,79401,86548,93695,100122,103965
334,69671,73546,80025,87230,94435,100914,104789
342,70213,74119,80650,87913,95176,101707,105613
350,70624,74561,81145,88466,95787,102371,106308
357,71036,75004,81640,89019,96398,103034,107002
